id,observationId,present,surveyName,species,eventDate,t,latitude,longitude,year,coordinateUncertaintyValue,altitude,easting,northing,asp_n,asp_e,temp.avg,temp.avg.pred.err.sd,temp.avg.dwnscl.err.sd,temp.avg.anom,water.avg,water.avg.pred.err.sd,water.avg.dwnscl.err.sd,water.avg.anom,spatial_fold,temporal_fold,training
1664,549696,0,243371,Acrothamnus hookeri,1982-02-01,5,-37.15388999999998,147.98056,1982,15,1160,587071.3904373674,5887605.873570029,0.01,0.26,9.697360859746482,0.6155676467471771,0.2677809881083032,0.04684741255169911,0.34940707769946777,0.009951813695568114,0.01091807896535769,-0.015980403492416195,2,4,TRUE
1665,549716,0,243372,Acrothamnus hookeri,1982-02-01,5,-37.14278000000001,147.98333,1982,15,1200,587330.1418323854,5888835.876217095,-0.02,0.3,9.640874315344888,0.6155676467471771,0.269979149648457,0.04817343449235523,0.3494197957055724,0.009951813695568114,0.011169509492275733,-0.01605071945358877,2,4,TRUE
1666,549782,0,243374,Acrothamnus hookeri,1982-02-01,5,-37.14000000000001,147.99861,1982,15,1200,588690.4512126356,5889130.117334962,-0.48,-0.41,9.466966966269581,0.6155676467471771,0.27081058823919074,0.048290805540318615,0.35229529497092177,0.009951813695568114,0.01132398026812821,-0.015336787274134234,2,4,TRUE
1667,549118,0,243350,Acrothamnus hookeri,1982-02-01,5,-37.10944,148.02917,1982,15,1530,591441.4422639431,5892491.456824651,-0.86,-0.04,8.708807936958635,0.709457579967633,0.2706063510602771,0.06665287847107493,0.3584250481394324,0.012216156005640178,0.011231646193568314,-0.01418558721417118,3,4,TRUE
1668,549142,0,243351,Acrothamnus hookeri,1982-02-01,5,-37.105279999999986,148.03194,1982,15,1600,591692.5785841113,5892950.29688527,-0.32,0.05,8.47483574687567,0.709457579967633,0.2708207335166514,0.07485348245376144,0.3584771135524995,0.012216156005640178,0.011120517176436369,-0.014168722339082451,3,4,TRUE
1669,549196,0,243353,Acrothamnus hookeri,1982-02-01,5,-37.09278,148.03333,1982,15,1500,591831.1776880603,5894335.704670203,0.53,0.3,8.520054891835173,0.709457579967633,0.2674014339760902,0.07421543287188115,0.3566347546065632,0.012216156005640178,0.010669872954153144,-0.014616132943310656,3,4,TRUE
1670,549236,0,243355,Acrothamnus hookeri,1982-02-01,5,-37.08860999999999,148.03333,1982,15,1500,591836.2099308325,5894798.324125202,0.6,0.15,8.633705559329655,0.709457579967633,0.2611819178177663,0.07241168920552354,0.35496100251549395,0.012216156005640178,0.009906254528366918,-0.015086374825973414,3,4,TRUE
1671,548096,0,243311,Acrothamnus hookeri,1982-02-01,5,-36.733059999999995,148.065,1982,15,1400,595091.3093302441,5934210.879506419,-0.56,0,8.642294764864289,0.709457579967633,0.26745186449153185,0.2489090518674857,0.35722131538542284,0.012216156005640178,0.010872680859473089,-0.0233091911489981,2,4,TRUE
1672,548156,0,243312,Acrothamnus hookeri,1982-02-01,5,-36.70389000000001,148.09333,1982,15,1700,597657.8376599561,5937418.319038471,0.12,0.27,8.179028917395556,0.709457579967633,0.28212844235459567,0.28804922794950016,0.35826924216488126,0.012216156005640178,0.012235747323201863,-0.023225302713504647,3,4,TRUE
1673,548205,0,243315,Acrothamnus hookeri,1982-02-01,5,-36.706669999999995,148.09556,1982,15,1760,597853.5065330069,5937107.649265952,0.12,0.27,8.18331442570343,0.709457579967633,0.27802707566175433,0.2877462635869392,0.3624180072405632,0.012216156005640178,0.012018425021871441,-0.022518330699075828,3,4,TRUE
1674,548166,0,243313,Acrothamnus hookeri,1982-02-01,5,-36.70667000000001,148.09833,1982,15,1700,598100.9268191818,5937104.817562822,0.12,0.27,8.18331442570343,0.709457579967633,0.27802707566175433,0.2877462635869392,0.3624180072405632,0.012216156005640178,0.012018425021871441,-0.022518330699075828,3,4,TRUE
1675,548219,0,243316,Acrothamnus hookeri,1982-02-01,5,-36.69833,148.09972,1982,15,1720,598235.6980229846,5938028.5799429305,-0.23,-0.02,8.179028917395556,0.709457579967633,0.28212844235459567,0.28804922794950016,0.35826924216488126,0.012216156005640178,0.012235747323201863,-0.023225302713504647,3,4,TRUE
